,id,word,frequency,duration,reaction_time,response,subject,accuracy
119,179,monen,none,0.4788888888888889,1.352638299926184,m,1,1
120,88,werd,HF,0.4824263038548753,0.7229959999676794,z,1,1
121,181,herken,none,0.5039455782312925,0.6513233000878245,z,1,0
122,128,kandola,none,0.5002040816326531,0.7251013000495732,m,1,1
123,76,wachten,HF,0.4697052154195011,0.6358357999706641,z,1,1
124,23,strotten,LF,0.5194104308390023,1.0190023999894038,z,1,1
125,85,zag,HF,0.4990476190476191,0.8835226000519469,z,1,1
126,4,polders,LF,0.5961678004535147,0.6891191999893636,z,1,1
127,75,vroeg,HF,0.5487074829931973,0.8869270000141114,z,1,1
128,5,ponten,LF,0.4158956916099773,0.9610255999723448,z,1,1
129,141,kimensie,none,0.6669841269841271,0.9734712999779732,m,1,1
130,119,doppel,none,0.39312925170068025,0.8126337999710813,m,1,1
131,82,morgen,HF,0.4886621315192744,0.6748960999539122,z,1,1
132,66,wakker,HF,0.4293424036281179,0.7910689000273123,z,1,1
133,42,lome,LF,0.4866893424036281,0.7357039999915287,m,1,0
134,198,snarpen,none,0.6049886621315193,0.868083699955605,m,1,1
135,20,schoffels,LF,0.7928571428571428,0.7891303999349475,z,1,1
136,110,women,none,0.4578684807256236,0.8089709000196308,m,1,1
137,81,krijg,HF,0.5826757369614513,0.818587200017646,z,1,1
138,161,gietsen,none,0.5158276643990929,0.8191346999956295,m,1,1
139,180,kijs,none,0.5234920634920635,0.6841089999070391,m,1,1
140,26,beitels,LF,0.7305895691609977,0.7927829999243841,z,1,1
141,186,brad,none,0.4661451247165533,0.8532728999853134,m,1,1
142,47,venkel,LF,0.5343537414965986,0.6817517000017688,z,1,1
143,120,verke,none,0.5179818594104308,1.0309552000835538,m,1,1
144,77,hen,HF,0.3445124716553288,0.8135517999762669,z,1,1
145,92,moeder,HF,0.4240362811791383,0.6070648999884725,z,1,1
146,170,moksen,none,0.514172335600907,0.848275399999693,m,1,1
147,193,nef,none,0.4258730158730159,0.8037088999990374,m,1,1
148,160,jaat,none,0.6259183673469387,0.9842342999763788,m,1,1
149,11,stekken,LF,0.4987074829931973,0.8308037999086082,m,1,0
150,195,pirrel,none,0.36117913832199533,0.742528900038451,m,1,1
151,90,wist,HF,0.5760997732426304,0.8319925999967381,z,1,1
152,33,woei,LF,0.3439455782312925,0.8498203000053763,z,1,1
153,183,zuun,none,0.4292517006802721,0.7231283000437543,m,1,1
154,13,gevels,LF,0.8220181405895691,1.0250187000492588,z,1,1
